speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
55,1,2,113.0010521,1.494150382,19.81253856,3.316991545,573.570852,0.54022353,7.212011959,2.529417389,1655.474618,0.283752521,0.340099174,0.507929806,2640.290896,0.185168227,1.663210565,1.404955402
55,1,3,114.6639501,1.244063253,18.18048344,3.203228777,620.5732798,0.580815606,5.897308191,2.402373813,1656.051417,0.281184052,0.529679332,0.559329067,2652.246147,0.200772536,0.511554028,1.164613554
55,1,4,143.2914024,1.423745234,8.9951604,2.863130393,588.820231,0.506547482,4.474708226,2.115852636,1577.705774,0.301660074,-0.420972048,0.598656624,2701.082062,0.203717014,0.921528633,1.36351314
55,2,1,100.7656542,1.428715635,22.37766359,3.066299932,588.2871173,0.556909478,7.963938199,2.689845573,1621.824649,0.270983929,1.791014357,1.00973732,2657.853686,0.185752604,0.739381764,1.070113028
55,2,2,96.44105481,1.370499792,20.99940984,2.850624459,582.3626834,0.5341923,6.196183079,2.366661364,1640.733446,0.271077984,1.174395275,0.796315543,2602.330333,0.194315393,1.175742227,1.273197118
55,2,3,102.1107416,1.15442282,21.02975705,3.044177514,622.980314,0.57421079,6.328114607,2.469074838,1618.763896,0.272783317,1.877420544,0.997368628,2590.148258,0.20011082,1.050328693,1.194495355
55,2,4,95.4684319,1.019938093,23.96244861,3.481264034,606.3793609,0.521967785,4.191921626,2.131430708,1566.837428,0.279122547,0.328053838,0.917928597,2588.212108,0.226194823,0.674749172,1.282645515
56,1,1,117.8660391,1.002131678,15.91410809,2.767004197,575.6182841,0.607194868,4.920643252,2.298307979,1614.27949,0.295750306,1.404665636,1.039789058,2666.642864,0.160853517,1.955664589,1.547389415
56,1,2,116.1732046,0.899739854,12.92627618,1.898622545,557.2853006,0.618255296,6.036519388,2.478156421,1639.638818,0.294652998,1.246611805,0.905767589,2722.117353,0.155815717,2.344638145,1.630444268
56,1,3,111.2394726,0.966740699,19.00585892,2.955038239,577.9199623,0.604845517,5.453155433,2.401107647,1592.58305,0.305775221,1.070991681,0.964361556,2653.479976,0.148220652,2.761290332,1.752561457
56,1,4,112.1852174,3.26679243,6.940910146,2.978894043,577.3005157,0.566979286,3.168511723,1.934120731,1569.811511,0.289691296,1.452869798,1.216359861,2694.027974,0.177640236,1.08338302,1.411224952
56,2,1,113.5891582,0.972426419,16.43734818,2.448433881,586.4480603,0.644093855,4.140561645,2.081963749,1616.457388,0.316352013,0.916274727,1.00312249,2668.572888,0.171634062,1.406358177,1.460047117
56,2,2,114.3195452,1.93297091,0.357106432,1.479442972,570.811548,0.661168498,4.087020497,2.14792661,1678.28388,0.288287775,0.952143001,0.85106609,2720.482221,0.166171235,1.867950424,1.48698844
56,2,3,117.7720146,0.981799521,13.86856244,2.38664092,576.8097229,0.64490335,4.550179557,2.243847943,1632.1683,0.296237883,0.673442304,0.824498436,2655.923525,0.162950742,2.142835574,1.593536174
56,2,4,119.2945042,1.556161209,19.51759273,3.367829392,596.3752276,0.601994365,1.796505736,1.619328457,1610.530736,0.314323357,1.362372432,1.204089509,2686.738823,0.17916073,0.539898677,1.269024389
